player_id,player_name,pos,team,n,overall_avg,overall_sd,pos_avg,pos_sd,overall_min,overall_max,pos_min,pos_max
6074,Donald Parham,TE,LAC,2,248,12.73,35.5,0.71,239,257,35,36
5121,Braxton Berrios,WR,MIA,3,249,8.89,95,1.73,239,256,94,97
3200,Sterling Shepard,WR,NYG,5,249.4,10.24,93.2,3.42,236,261,88,97
4741,Dan Arnold,TE,PHI,6,249.5,13.72,35.17,2.14,225,260,31,37
5119,Jason Sanders,K,MIA,6,249.5,10.82,13.83,1.94,231,264,11,16
8176,Danny Gray,WR,SF,2,249.5,6.36,92,4.24,245,254,89,95
4195,Jake Elliott,K,PHI,1,250,NA,15,NA,250,250,15,15
8223,Velus Jones,WR,CHI,7,250.29,7.89,93.29,2.63,237,262,89,97
3678,Wil Lutz,K,NO,9,250.56,9.48,11.22,2.59,236,262,8,16
8171,Kyle Philips,WR,TEN,6,250.83,14.91,95.5,3.15,223,263,90,99
5272,Greg Joseph,K,MIN,8,251.25,9.53,11.25,2.49,234,260,9,16
7049,Jauan Jennings,WR,SF,4,251.25,6.13,95.5,2.38,245,257,94,99
6850,Harrison Bryant,TE,CLE,2,251.5,17.68,37,1.41,239,264,36,38
8152,Kennedy Brooks,RB,PHI,2,252,8.49,78.5,2.12,246,258,77,80
8812,Jonathan Garibay,K,NA,2,252.5,14.85,11.5,4.95,242,263,8,15
7540,Amari Rodgers,WR,HOU,8,252.75,7.69,94.25,3.58,241,261,87,97
6421,Jalen Guyton,WR,LAC,6,252.83,10.4,94.17,2.48,233,260,90,97
8116,Pierre Strong,RB,NE,8,253,11.11,76,5.9,231,262,63,83
1379,Kyle Juszczyk,FB,SF,1,254,NA,1,NA,254,254,1,1
6885,Ke'Shawn Vaughn,RB,TB,7,255,6.43,76.86,4.34,245,263,70,82
4055,O.J. Howard,TE,LV,2,255,2.83,34,1.41,253,257,33,35
7602,Kylen Granson,TE,IND,1,255,NA,37,NA,255,255,37,37
8259,Cameron Dicker,K,LAC,1,255,NA,12,NA,255,255,12,12
7720,Kene Nwangwu,RB,MIN,4,255.5,7.85,76.75,2.36,247,264,75,80
6156,Benny Snell,RB,NA,7,255.71,6.8,78.43,3.55,244,263,71,82
6960,Tyler Johnson,WR,LAR,1,257,NA,96,NA,257,257,96,96
6927,Quez Watkins,WR,PHI,2,257.5,9.19,95.5,3.54,251,264,93,98
827,Tyrod Taylor,QB,NYG,4,257.75,3.86,39.25,1.5,252,260,37,40
2399,Ty Montgomery,RB,NE,1,258,NA,78,NA,258,258,78,78
5985,Foster Moreau,TE,NO,1,258,NA,36,NA,258,258,36,36
7562,Tutu Atwell,WR,LAR,1,258,NA,96,NA,258,258,96,96
8174,Kevin Harris,RB,NE,1,258,NA,76,NA,258,258,76,76
6271,Olamide Zaccheaus,WR,PHI,1,259,NA,97,NA,259,259,97,97
49,Robbie Gould,K,NA,4,260.75,3.4,13.75,2.87,256,264,12,18
6723,Vincent Testaverde,QB,NA,1,261,NA,38,NA,261,261,38,38
6957,James Proche,WR,BAL,3,261.67,2.08,98.33,3.51,260,264,95,102
268,Alex Smith,QB,NA,1,262,NA,39,NA,262,262,39,39
3634,Kalif Raymond,WR,DET,1,264,NA,99,NA,264,264,99,99
5131,Justin Jackson,RB,NA,1,264,NA,83,NA,264,264,83,83
8125,Calvin Austin,WR,PIT,1,264,NA,99,NA,264,264,99,99
